Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body
H4NZPZ5D;journalArticle;2020;"Lanham, BS; Poore, AGB; Gribben, PE";Facilitation cascades create a predation refuge for biodiversity in a novel connected habitat;ECOSPHERE;;2150-8925;10.1002/ecs2.3053;;Communities structured via facilitation cascades whereby one habitat-forming species promotes a secondary habitat-forming species with synergistic effects on biodiversity are increasingly documented. Habitat-formers can also extend the realized niche of other habitat-forming species by facilitating their recruitment into novel environments across heterogeneous landscapes. However, further understanding of whether secondary habitat-formers in these novel environments differ in their structure or support different communities from those settled in their natal habitat is required. Here, we investigated whether abiotic and biotic conditions in a novel connected habitat influence biodiversity within a secondary habitat-former facilitated outside its natal habitat. We contrasted the morphology of the habitat-forming alga, Sirophysalis trinodis, and its associated fish and epifaunal community occurring on rocky reef (natal habitat) and on nearby a biogenic hard substrate, live clam shells (novel habitat) in soft sediments. The algae on clams had a different morphology to those on the rocky shore and supported increased abundance of some epifaunal species. A reciprocal transplant experiment of S. trinodis individuals among habitats found that differences in the abundance of epifauna were explained by the increased abundance and consumption rates of predatory fish on the reef habitat compared to soft-sediment habitats, and not by differences in algal morphology between habitats. We demonstrate that facilitation promotes a secondary habitat-former into a novel habitat, which then enhances the abundance of associated epifauna by providing a predation refuge. This study contributes to a small but growing body of research demonstrating landscape-scale effects of facilitation cascades, and that basal habitat-formers can extend the realized niche of secondary habitat-formers and their associated communities.;2020-04;2023-07-04 07:30:46;2024-07-15 15:17:37;;;;4;11;;;;;;;;;;English;;;;WOS:000536583400019;;;;;;"foundation species; biodiversity; predation; community structure; structural complexity; facilitation cascade; MARINE; COMMUNITY STRUCTURE; FISH ASSEMBLAGES; COLONIZATION; ECOSYSTEM ENGINEERS; KEY ROLE; ORGANIZATION; POSITIVE INTERACTIONS; SEAGRASS BEDS; STRUCTURAL COMPLEXITY; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6G42C29E;journalArticle;2008;"Rabaut, M; Braeckman, U; Hendrickx, F; Vincx, M; Degraer, S";Experimental beam-trawling in Lanice conchilega reefs: Impact on the associated fauna;FISHERIES RESEARCH;;0165-7836;10.1016/j.fishres.2007.10.009;;To study fisheries impact at the species level in temperate sandy bottom areas, a controlled field manipulation experiment was designed focusing on areas with high densities of the habitat-structuring, tube-dwelling polychaete Lanice conchilega (i.e. L. conchilega reefs). The hypothesis was that the impact on L. conchilega would be minimal, but that the fauna benefiting from the biogenically structured habitat would be impacted by beam-trawling. In this study, the impact of beam-trawl passage on intertidal L. conchilega reefs and its associated fauna was quantified. A treatment zone was exposed to a one-off experimental trawling. Subsequently, the impact on and recovery of the associated fauna was investigated for a period of 9 days post-impact. Community analysis showed a clear impact followed by a relatively quick recovery as apparent through MDS analysis (stress 0.06), a significant (p < 0.001) IMS of 0.61, through ANOSIM analysis: significant (p = 0.001) dissimilarities between treatment and control and through SIMPER analysis (decreasing dissimilarities over time). This impact and subsequent recovery was largely explained by two species: Eumida sanguinea and Urothoe poseidonis. Species analysis confirmed the beam-trawl passage significantly (P = 0.001) impacted E. sanguinea for the whole period of the experiment. The experiment confirmed that closely associated species of L. conchilega reefs are impacted by beam-trawl fisheries. This small-scale intertidal study provides some pointers which indicate that the tightly associated species will be impacted significantly when beam-trawling L. conchilega reefs in subtidal areas. (C) 2007 Elsevier B.V. All rights reserved.;2008-04;2023-07-04 07:30:48;2024-04-12 06:36:01;;209-216;;1-3;90;;;;;;;;;;English;;;;WOS:000255266900024;;;;;;"associated fauna; Lanice conchilega; GLMM; Eumida sanguinea; DISTURBANCE; RECOVERY; SEDIMENT; HABITAT; ECOSYSTEM ENGINEERS; NORTH-SEA; BENTHIC COMMUNITIES; PALLAS; beam-trawl disturbance; INFAUNA; SEINE; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JBQ8RLS6;journalArticle;2010;"Sellheim, K; Stachowicz, JJ; Coates, RC";Effects of a nonnative habitat-forming species on mobile and sessile epifaunal communities;MARINE ECOLOGY PROGRESS SERIES;;0171-8630;10.3354/meps08341;;"Native and exotic sessile invertebrates can act as habitat modifiers and influence the diversity and composition of associated epifaunal communities. Theory and empirical research predict that greater habitat structural complexity will generally result in higher abundance, richness, and diversity of epifaunal species. We evaluated the impact of a recently introduced, structurally complex bryozoan, Watersipora subtorquata, by comparing its associated epifaunal communities with those of primary substrate, other habitat modifiers (tunicates and mussels), and structurally similar mimics. Community composition differed between Watersipora and other treatments for both mobile and sessile epifaunal communities, but species richness and diversity were significantly higher on Watersipora for mobile animals only. Differences in mobile community composition and diversity were driven by polychaete worms, which were found in greater abundance and higher diversity in Watersipora. Crustaceans, although equally abundant, were more evenly distributed across treatments. Sessile epifaunal communities differed little in richness or abundance among treatments, suggesting that while Watersipora provides biogenic surfaces for colonization that adequately compensate for the primary substrate it exploits, its high structural complexity does not correspond to an increase in sessile epifaunal abundance relative to less complex habitat modifiers. Our results suggest that neutral or facilitative effects of exotic species may be common; the strength and direction of the impact of a novel habitat-forming species on epifaunal communities will depend on the quality of the resource it provides, the strength of ecological interactions between habitat-forming species and epifauna, epifaunal habitat preferences, and whether habitat is a limiting resource for a particular species or group.";2010;2023-07-04 07:30:48;2024-04-11 09:22:50;;69-80;;;398;;;;;;;;;;English;;;;WOS:000273968500005;;;;;;"Habitat complexity; Epifauna; Watersipora subtorquata; Exotic species; Habitat engineer; IMPACTS; DIVERSITY; SEAWEED; COMPETITION; REEF; COMPLEXITY; FACILITATION; INVASION; MARINE COMMUNITIES; PREDATOR; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NTVX63XK;journalArticle;2014;"Barnes, RSK; Barnes, MKS";Biodiversity differentials between the numerically-dominant macrobenthos of seagrass and adjacent unvegetated sediment in the absence of sandflat bioturbation;MARINE ENVIRONMENTAL RESEARCH;;0141-1136;10.1016/j.marenvres.2014.05.013;;Species composition, abundance and biodiversity of the South African estuarine invertebrate fauna are known to show marked differentials between seagrass beds and adjacent unvegetated sands in enclosed estuarine/marine bays. Such differentials were investigated at four disparate localities in a bay lacking the callianassid bioturbation of other local sites. Here there were no such marked or consistent differences: <50% of differentials were statistically significant, with seagrass showing the lower, not higher, level in half of those. Overall, faunal abundance was lower in seagrass in the ratio of 0.64 : 1, whilst species density was higher but only by 1.13 to 1. Seagrass assemblages at a given locality were more similar to those of the adjacent bare sand than they were to seagrass assemblages at other localities, and likewise in respect of those in the bare sand. This suggests that marked differentials, where they occur, may result not from any supposed favourability of seagrass as a habitat but from the operation of processes within the unvegetated-sediment compartment of the system. (C) 2014 Elsevier Ltd. All rights reserved.;2014-08;2023-07-04 07:30:51;2024-04-08 14:00:06;;34-43;;;99;;;;;;;;;;English;;;;WOS:000340699600005;;;;;;"Seagrass; Biodiversity; Benthos; Bioturbation; COMMUNITY STRUCTURE; SPECIES RICHNESS; ECOSYSTEM ENGINEERS; SPATIAL VARIATION; ENVIRONMENTAL VARIABLES; Knysna; KNYSNA ESTUARY; POLYCHAETE DIVERSITY; Sandflat; SANDPRAWN CALLIANASSA-KRAUSSI; UPOGEBIA-AFRICANA; ZOSTERA-MARINA L; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4HE5EC2R;journalArticle;2017;"Smee, DL; Sanchez, JA; Diskin, M; Trettin, C";Mangrove expansion into salt marshes alters associated faunal communities;ESTUARINE COASTAL AND SHELF SCIENCE;;0272-7714;10.1016/j.ecss.2017.02.005;;Climate change is altering the distribution of foundation species, with potential effects on organisms that inhabit these environments and changes to valuable ecosystem functions. In the Gulf of Mexico, black mangroves (Avicennia germinans) are expanding northward into salt marshes dominated by Spartina alterniflora (hereafter Spartina). Salt marshes are essential habitats for many organisms, including ecologically and economically important species such as blue crabs (Callinectes sapidus) and Penaeid shrimp (e.g., Penaeus aztecus), which may be affected by vegetation changes. Black mangroves occupied higher tidal elevations than Spartina, and Spartina was present only at its lowest tidal elevations in sites when mangroves were established. We compared nekton and infaunal communities within monoculture stands of Spartina that were bordered by mangroves to nearby areas where mangroves had not yet become established. Nekton and infaunal communities were significantly different in Spartina stands bordered by mangroves, even though salinity and temperature were not different. Overall abundance and biomass of nekton and infauna was significantly higher in marshes without mangroves, although crabs and fish were more abundant in mangrove areas. Black mangrove expansion as well as other ongoing vegetation shifts will continue in a warming climate. Understanding how these changes affect associated species is necessary for management, mitigation, and conservation. (C) 2017 Elsevier Ltd. All rights reserved.;2017-03-05;2023-07-04 07:30:52;2024-01-29 15:07:26;;306-313;;;187;;;;;;;;;;English;;;;WOS:000399624100029;;;;;;"Spartina alterniflora; Climate change; Avicennia germinans; Shrimp; Vegetation shift; CLIMATE-CHANGE; HABITATS; VEGETATION; SEAGRASS; PHRAGMITES-AUSTRALIS; GULF-OF-MEXICO; BLACK MANGROVE; NORTHERN GULF; NEKTON USE; AVICENNIA-GERMINANS; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XUZIU9TW;journalArticle;2015;"Lanham, BS; Gribben, PE; Poore, AGB";Beyond the border: Effects of an expanding algal habitat on the fauna of neighbouring habitats;MARINE ENVIRONMENTAL RESEARCH;;0141-1136;10.1016/j.marenvres.2015.02.006;;The impacts of novel habitat-forming organisms on associated fauna have been difficult to predict, and may affect the fauna of neighbouring habitats due to changes in the spatial configuration of habitat patches of differing quality. Here, we test whether the localised expansion of a native habitat-forming macroalga, Cauleipa filiformis, on subtidal reefs can affect the abundance of fauna associated with a neighbouring macroalgal habitat. C filiformis was a functionally distinct habitat for fauna, and the total abundance of epifauna associated with the resident alga, Sargassum lineartfolium, was reduced at some sites when in close proximity to or surrounded by C filiformis. Experimental manipulation of habitat configuration demonstrated that the low abundance of gastropods on S. linearifolium when surrounded by C filiformis was likely explained by C filiformis acting as a physical dispersal barrier for mobile fauna. Changes to the spatial configuration of novel and resident habitats can thus affect the abundance of fauna in addition to the direct replacement of habitats by species undergoing range expansions or increasing in abundance. (C) 2015 Elsevier Ltd. All rights reserved.;2015-05;2023-07-04 07:30:54;2024-07-16 15:28:09;;10-18;;;106;;;;;;;;;;English;;;;WOS:000353080900002;;;;;;"Coastal zone; Epifauna; Macroalgae; Sargassum; Colonisation; Rocky reef; Caulerpa; Effects-community; Habitat configuration; Range expansions; COMMUNITIES; RESPONSES; MARINE; COLONIZATION; MECHANISMS; SEAGRASS; FRAGMENTATION; INVASIVE SEAWEED; CAULERPA-FILIFORMIS; PATCH SHAPE; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AC894SKB;journalArticle;2018;"Gabara, SS; Hamilton, SL; Edwards, MS; Steller, DL";Rhodolith structural loss decreases abundance, diversity, and stability of benthic communities at Santa Catalina Island, CA;MARINE ECOLOGY PROGRESS SERIES;;0171-8630;10.3354/meps12528;;Species that increase habitat structural complexity often have a disproportionate influence on their ecosystems. Rhodoliths are bed-forming unattached coralline algae which increase benthic structural complexity and enhance biodiversity in coastal soft-bottomed ecosystems worldwide. Consequently, their degradation due to anthropogenic disturbance, such as crushing from boat mooring chains, may lead to reduced biodiversity and ecosystem functioning. To examine how anthropogenic disturbance impacts rhodolith community dynamics, we used a comprehensive sampling and analytical approach to compare macroalgal, invertebrate (infauna and epifauna), and fish assemblages between rhodolith beds and adjacent mooring-disturbed crushed rhodolith sand. Sampling was conducted during 2 sampling times across 3 sites at Catalina Island, CA, USA. Our results demonstrate that the more heterogeneous structure provided in less disturbed rhodolith beds supported greater community richness and abundances than crushed rhodolith sands. Specifically, disturbance-related rhodolith structural loss was associated with significantly reduced richness of invertebrates and abundance of macroalgae, invertebrates, and fish. In particular, deposit-feeding infaunal tanaids were far more abundant in rhodolith beds and drove much of the difference in invertebrate abundance between habitats. Further, spatiotemporal variation in the infaunal invertebrate assemblages was 54 % lower in the rhodolith beds than crushed rhodolith sand, suggesting that rhodolith beds support more stable communities. Our results suggest that structured rhodolith bed habitats support more abundant, diverse, and stable benthic communities than do disturbed rhodolith sand habitats. Better management of rhodolith ecosystems and the factors that disturb them could help maintain coastal biodiversity and stability.;2018-05-14;2023-07-04 07:30:55;2024-01-29 10:27:35;;71-88;;;595;;;;;;;;;;English;;;;WOS:000432551900006;;;;;;"Community structure; Coralline algae; Foundation species; Habitat complexity; Disturbance; Maerl; Rhodolith; BIODIVERSITY; GROWTH; CALIFORNIA; CONSEQUENCES; HABITAT; FISH; ASSEMBLAGES; MAERL BEDS; SCALLOPS AEQUIPECTEN-OPERCULARIS; MANGROVES; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBRPQ4P2;journalArticle;2018;"Armenteros, M; Saladrigas, D; Gonzalez-Casuso, L; Estevez, ED; Kowalewski, M";The role of habitat selection on the diversity of macrobenthic communities in three gulfs of the Cuban Archipelago;BULLETIN OF MARINE SCIENCE;;0007-4977;10.5343/bms.2017.1013;;Diversity and faunal composition of macrobenthic communities remain poorly known in the Caribbean Sea. Here, we explore the diversity and abundance of marine macrobenthos across three gulfs of the Cuban Archipelago and examine the role of habitat type in determining faunal composition and function. Samples collected from 32 soft-bottom sites across four habitat types (mangroves, seagrass beds, unvegetated mud bottoms, and coral reefs) yielded 4231 individuals representing 22 higher macrobenthic taxa. The most abundant taxa were polychaetes, nematodes, crustaceans, and mollusks. Mollusk fauna was particularly diverse (105 species and 74 genera) despite being dominated by two taxa: a bivalve (Parvilucina sp.) and gastropods (Caecum spp). Habitat type was weakly interrelated with the faunal composition of the entire macrobenthos and its molluscan component (<20% of explained variance, in both cases). This weak correlation might reflect the influence of within-habitat heterogeneity, ecological drift, or dispersal barriers. Functional traits differed among habitats, with infaunal mollusks typically found in mud bottom and carnivores more abundant in mangroves. The regional mollusk species richness (105 species) exceeded the richness observed within individual gulfs (39, 40, and 59 species), highlighting high regional diversity. Anthropogenic factors could also be at play. The results suggest, tentatively, that fisheries might have affected the functional and taxonomic structuring of the sampled macrobenthic communities. This initial survey suggests that habitat selection does not exert a strong effect on the macrobenthos (or its molluscan component), and other assembly processes such as drift, dispersal, and human impacts may be important.;2018-04;2023-07-04 07:30:56;2024-01-29 12:20:48;;249-268;;2;94;;;;;;;;;;English;;;;WOS:000439017000007;;;;;;"BIODIVERSITY; ECOSYSTEM ENGINEERS; BIOLOGICAL TRAITS; ASSEMBLAGES; TRACE-METALS; MACROFAUNA; MOLLUSKS; SAMPLING DESIGN; SOFT-BOTTOMS; TAXONOMIC DISTINCTNESS; discu; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NCW9XE8U;journalArticle;2009;"Arkema, KK; Reed, DC; Schroeter, SC";Direct and indirect effects of giant kelp determine benthic community structure and dynamics;ECOLOGY;;0012-9658;10.1890/08-1213.1;;Indirect facilitation can occur when a species positively affects another via the suppression of a shared competitor. In giant kelp forests, shade from the canopy of the giant kelp, Macrocystis pyrifera, negatively affects understory algae, which compete with sessile invertebrates for space. This raises the possibility that giant kelp indirectly facilitates sessile invertebrates, via suppression of understory algae. We evaluated the effect of giant kelp on the relative abundance of algae and invertebrates by experimentally manipulating kelp abundance on large artificial reefs located off San Clemente, California, USA. The experiments revealed a negative effect of giant kelp on both light availability and understory algal abundance and a positive effect on the abundance of sessile invertebrates, which was consistent with an indirect effect mediated by shade from the kelp canopy. The importance of these processes to temporal variability in benthic community structure was evaluated at 16 locations on natural reefs off Santa Barbara, California, over an eight-year period. Interannual variability in the abundance of understory algae and in the abundance of sessile invertebrates was significantly and positively related to interannual variability in the abundance of giant kelp. Analysis of these observational data using Structural Equation Modeling (SEM) indicated that the magnitude of the indirect effect of giant kelp on invertebrates was six times larger than the direct effect on invertebrates. Results suggest that the dynamics of this system are driven by variability in the abundance of a single structure-forming species that has indirect positive, as well as direct negative, effects on associated species.;2009-11;2023-07-04 07:30:57;2024-04-11 14:18:05;;3126-3137;;11;90;;;;;;;;;;English;;;;WOS:000271457300016;;;;;;"macroalgae; Macrocystis pyrifera; giant kelp; temporal variability; indirect facilitation; benthic community structure; sea urchin; interannual variability; sessile invertebrate; MACROCYSTIS-PYRIFERA; WAVE EXPOSURE; FOREST; SEA-URCHINS; SPATIAL-PATTERNS; ECOSYSTEM ENGINEERS; POPULATION-DYNAMICS; ALGAL COMMUNITY; ECOLOGICAL COMMUNITIES; ROCKY REEF; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WCEEYL6L;journalArticle;2008;"Norling, P; Kautsky, N";Patches of the mussel Mytilus sp are islands of high biodiversity in subtidal sediment habitats in the Baltic Sea;AQUATIC BIOLOGY;;1864-7790;10.3354/ab00096;;Mytilus sp. is a habitat-modifying species that can influence biodiversity by facilitation and inhibition of species. We investigated the relationship between size of Mytilus patches, sediment characteristics and species richness of associated macrofauna, meiofauna and macroalgae on sandy sediments at 7 m depth in the Asko area, northern Baltic proper. A total of 24 associated macrofauna species were identified, 11 of which were not present on bare sediment outside the patches. The bare sediment had on average 5 species, which increased to 6 associated species at a mussel patch size of 5 cm(2) and 17 species at 314 cm 2, which was > 85 % of the associated species in a nearby large mussel bed. The diversity of macro-infauna was higher in mussel patches compared to sediment. Macroalgae, being dependent on mussel shell as substrate or on attachment by byssus threads, were not found outside patches. Sediment contents of total carbon and nitrogen were significantly higher within patches than outside, mainly due to the mussels' filtration and biodeposition of small nutrientrich particles, Diversity of meiofauna did not change with patch size, but total abundance of Nematoda was higher within patches. As patch size increased, the effects of Mytilus on the sediment characteristics became stronger, but few negative effects of increased biodeposition were seen on species richness, The results show that mussel patches represent islands of high biodiversity in sediment areas and belong to the most species-rich habitats in the Baltic Sea, due to structural and functional effects.;2008;2023-07-04 07:30:58;2024-04-12 06:39:24;;75-87;;1;4;;;;;;;;;;English;;;;WOS:000262027800009;;;;;;"Biodiversity; Community structure; Habitat modification; Engineering species; Associated species; Ecological role; BEDS; COMMUNITY STRUCTURE; ECOSYSTEM ENGINEERS; NORTH-SEA; WADDEN SEA; FAUNA; SOFT-BOTTOM; EDULIS L.; HARD-ROCK; Patch size Facilitation; SMALL INTERTIDAL ANIMALS; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
